"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 15 22:19:04 MSK 2025","Mon Dec 15 22:19:13 MSK 2025","9190","","Выход из аккаунта","","tests.LogoutTest","logoutTest","Выход по кнопке «Выйти» в личном кабинете",""
"passed","Mon Dec 15 22:19:22 MSK 2025","Mon Dec 15 22:19:31 MSK 2025","9036","","Регистрация пользователя","","tests.RegistrationUserTest","registrationWithShortPasswordShouldShowError","Регистрация с паролем менее 6 символов",""
"passed","Mon Dec 15 22:18:55 MSK 2025","Mon Dec 15 22:19:04 MSK 2025","9031","","Вход в личный кабинет","","tests.LoginUserTest","loginRegistrationButtonTest","Вход через раздел Зарегистрироваться",""
"passed","Mon Dec 15 22:16:52 MSK 2025","Mon Dec 15 22:17:02 MSK 2025","9936","","Раздел Конструктор","","tests.ConstructorTest","switchToSaucesAfterBunsWithContentTest","Переход к Соусам после Булок с проверкой контента","Тест проверяет переход к Соусам после Булок и отображение контента"
"passed","Mon Dec 15 22:17:02 MSK 2025","Mon Dec 15 22:17:21 MSK 2025","18479","","Раздел Конструктор","","tests.ConstructorTest","cyclicSwitchingAllTabsTest","Циклическое переключение всех табов с проверкой контента","Тест проверяет последовательное переключение всех табов и отображение контента"
"passed","Mon Dec 15 22:17:21 MSK 2025","Mon Dec 15 22:17:31 MSK 2025","10267","","Раздел Конструктор","","tests.ConstructorTest","switchToBunsAfterSaucesWithContentTest","Переход к Булкам после Соусов с проверкой контента",""
"passed","Mon Dec 15 22:18:00 MSK 2025","Mon Dec 15 22:18:15 MSK 2025","15489","","Вход в личный кабинет","","tests.LoginUserTest","loginPasswordRecovery","Вход через раздел Восстановление пароля",""
"passed","Mon Dec 15 22:18:34 MSK 2025","Mon Dec 15 22:18:45 MSK 2025","11340","","Вход в личный кабинет","","tests.LoginUserTest","SwitchingPersonalAccountConstructorStellarBurgers","Переход из личного кабинета в конструктор по клику логотип Stellar Burgers",""
"passed","Mon Dec 15 22:18:15 MSK 2025","Mon Dec 15 22:18:25 MSK 2025","9712","","Вход в личный кабинет","","tests.LoginUserTest","loginAccountButtonTest","Вход по кнопке 'Войти в аккаунт'","Тест проверяет вход через кнопку 'Войти в аккаунт' на главной странице"
"passed","Mon Dec 15 22:17:31 MSK 2025","Mon Dec 15 22:17:40 MSK 2025","8939","","Раздел Конструктор","","tests.ConstructorTest","switchToBunsAfterFillingsWithContentTest","Переход к Булкам после Начинок с проверкой контента","Тест проверяет переход к Букам после Начинок и отображение контента"
"passed","Mon Dec 15 22:19:13 MSK 2025","Mon Dec 15 22:19:22 MSK 2025","8924","","Регистрация пользователя","","tests.RegistrationUserTest","successfulRegistrationWithValidData","Успешная регистрация с валидными данными",""
"passed","Mon Dec 15 22:17:40 MSK 2025","Mon Dec 15 22:17:49 MSK 2025","8861","","Раздел Конструктор","","tests.ConstructorTest","switchToFillingsAfterSaucesWithContentTest","Переход к Начинкам после Соусов с проверкой контента","Тест проверяет переход к Начинкам после Соусов и отображение контента"
"passed","Mon Dec 15 22:17:49 MSK 2025","Mon Dec 15 22:18:00 MSK 2025","10978","","Раздел Конструктор","","tests.ConstructorTest","switchToSaucesAfterFillingsWithContentTest","Переход к Соусам после Начинок с проверкой контента","Тест проверяет переход к Соусам после Начинок и отображение контента"
"passed","Mon Dec 15 22:18:45 MSK 2025","Mon Dec 15 22:18:55 MSK 2025","9834","","Вход в личный кабинет","","tests.LoginUserTest","loginPersonalAccountButtonTest","Вход через кнопку 'Личный кабинет'","Тест проверяет вход через кнопку 'Личный кабинет'"
"passed","Mon Dec 15 22:16:40 MSK 2025","Mon Dec 15 22:16:52 MSK 2025","11451","","Раздел Конструктор","","tests.ConstructorTest","switchToFillingsAfterBunsWithContentTest","Переход к Начинкам после Булок с проверкой контента","Тест проверяет переход к Начинкам после Булок и отображение контента"
"passed","Mon Dec 15 22:18:25 MSK 2025","Mon Dec 15 22:18:34 MSK 2025","8802","","Вход в личный кабинет","","tests.LoginUserTest","SwitchingPersonalAccountConstructor","Переход из личного кабинета в конструктор по клику на «Конструктор»",""
